frequency,dB
20.0,6.965784284662087
20.2,6.922718405730877
20.4,6.880076828071774
20.61,6.835750770030579
20.81,6.793953389442344
21.02,6.7504962767618135
21.23,6.707471170932215
21.44,6.664869567275032
21.66,6.620684555823367
21.87,6.578924623504069
22.09,6.535604028582524
22.31,6.492712743915926
22.54,6.448321738131685
22.76,6.406282611728603
22.99,6.3627648864938084
23.22,6.31968036805165
23.45,6.277020516440132
23.69,6.232949688927654
23.92,6.191132116054034
24.16,6.147922920673112
24.4,6.105140841297603
24.65,6.061021344852527
24.89,6.01908559370524
25.14,5.975830335386824
25.39,5.9330030997058305
25.65,5.888907807165099
25.91,5.845257238108065
26.16,5.803696662154101
26.43,5.759255009723638
26.69,5.716886368222449
26.96,5.673322795102773
27.23,5.63019333751696
27.5,5.587489428750194
27.77,5.54520275319181
28.05,5.501781972159883
28.33,5.458792479514052
28.62,5.414713268468345
28.9,5.372575806484225
29.19,5.329361652141545
29.48,5.286574711363139
29.78,5.242753022902049
30.08,5.199370583615437
30.38,5.156418675142097
30.68,5.113888836139548
30.99,5.070376019889701
31.3,5.0272963131884065
31.61,4.984641178934853
31.93,4.941046625938068
32.24,4.899229053064445
32.57,4.855153125460638
32.89,4.812837260142141
33.22,4.7696280647612195
33.55,4.726845985385711
33.89,4.6832053741963655
34.23,4.640000407618834
34.57,4.597222473861152
34.92,4.553623607760027
35.27,4.510459557369592
35.62,4.467721735343492
35.97,4.42540180624221
36.33,4.382300187401894
36.7,4.338444095456623
37.06,4.29619564056655
37.43,4.253199139948462
37.81,4.209480736686645
38.19,4.166199524780806
38.57,4.123346846762063
38.95,4.080914299801253
39.34,4.037793411812757
39.74,3.9940086668993375
40.14,3.950662434560497
40.54,3.9077460182476518
40.94,3.8652509775781168
41.35,3.822122296472437
41.76,3.779419148938695
42.18,3.7361069992672737
42.6,3.693223993308747
43.03,3.6497557638034186
43.46,3.6067197611045
43.9,3.5631214653801866
44.33,3.5209341971525543
44.78,3.4772207000905557
45.23,3.433944296754115
45.68,3.39109633255982
46.13,3.34866840745138
46.6,3.3047944200234203
47.06,3.2622803229754553
47.53,3.2192690797413404
48.01,3.175779476672565
48.49,3.1327225234593583
48.97,3.0900896965220506
49.46,3.0469975654785353
49.96,3.003463853824476
50.46,2.9603636657194463
50.96,2.917688451879447
51.47,2.8745889370287454
51.99,2.8310818190043703
52.51,2.788007697663631
53.03,2.7453580392261108
53.56,2.7023164026754163
54.1,2.658898502505815
54.64,2.615911833778077
55.18,2.5733479145885294
55.74,2.529645277336921
56.29,2.4871483400448975
56.86,2.443541987615766
57.42,2.401124293026803
58.0,2.3576255839414584
58.58,2.3145597050102475
59.16,2.271918127351145
59.76,2.228243840280637
60.35,2.185722971721196
60.96,2.142195576168382
61.57,2.0991015790030847
62.18,2.0564324346251555
62.8,2.01349060731138
63.43,1.9702882581497385
64.07,1.9268373131555703
64.71,1.8838182530035184
65.35,1.841222576599962
66.01,1.7977304904502458
66.67,1.7546711033172606
67.33,1.7120358901756754
68.01,1.6685436092625219
68.69,1.6254840312222312
69.37,1.5828486309160708
70.07,1.539393595967556
70.77,1.4963705267664917
71.48,1.4531653815238765
72.19,1.4103872726155005
72.91,1.367434180059088
73.64,1.3243154045986285
74.38,1.2810400408123859
75.12,1.2381930956870242
75.87,1.195195671495164
76.63,1.1520563675556565
77.4,1.1087835855530301
78.17,1.0659391713469701
78.95,1.0229664864055505
79.74,0.9798734686563562
80.54,0.9366678678110854
81.35,0.8933572469686784
82.16,0.850475739693763
82.98,0.8074933130333968
83.81,0.764417105763595
84.65,0.7212540802993358
85.5,0.6780110246664806
86.35,0.6351957513994887
87.22,0.5918073134035304
88.09,0.5488495247024383
88.97,0.5058274274606595
89.86,0.4627470990780335
90.76,0.4196144576313357
91.66,0.3769074275254104
92.58,0.3336825967726751
93.51,0.29042231760877557
94.44,0.24759015996242037
95.39,0.204270187434859
96.34,0.16137951288741603
97.3,0.11846486964292662
98.28,0.0750907115618537
99.26,0.03214692075698733
100.25,0.0
101.25,0.0
102.27,0.0
103.29,0.0
104.32,0.0
105.37,0.0
106.42,0.0
107.48,0.0
108.56,0.0
109.64,0.0
110.74,0.0
111.85,0.0
112.97,0.0
114.1,0.0
115.24,0.0
116.39,0.0
117.55,0.0
118.73,0.0
119.92,0.0
121.12,0.0
122.33,0.0
123.55,0.0
124.79,0.0
126.03,0.0
127.29,0.0
128.57,0.0
129.85,0.0
131.15,0.0
132.46,0.0
133.79,0.0
135.12,0.0
136.48,0.0
137.84,0.0
139.22,0.0
140.61,0.0
142.02,0.0
143.44,0.0
144.87,0.0
146.32,0.0
147.78,0.0
149.26,0.0
150.75,0.0
152.26,0.0
153.78,0.0
155.32,0.0
156.88,0.0
158.44,0.0
160.03,0.0
161.63,0.0
163.24,0.0
164.88,0.0
166.53,0.0
168.19,0.0
169.87,0.0
171.57,0.0
173.29,0.0
175.02,0.0
176.77,0.0
178.54,0.0
180.32,0.0
182.13,0.0
183.95,0.0
185.79,0.0
187.65,0.0
189.52,0.0
191.42,0.0
193.33,0.0
195.27,0.0
197.22,0.0
199.19,0.0
201.18,0.0
203.19,0.0
205.23,0.0
207.28,0.0
209.35,0.0
211.44,0.0
213.56,0.0
215.69,0.0
217.85,0.0
220.03,0.0
222.23,0.0
224.45,0.0
226.7,0.0
228.96,0.0
231.25,0.0
233.57,0.0
235.9,0.0
238.26,0.0
240.64,0.0
243.05,0.0
245.48,0.0
247.93,0.0
250.41,0.0
252.92,0.0
255.45,0.0
258.0,0.0
260.58,0.0
263.19,0.0
265.82,0.0
268.48,0.0
271.16,0.0
273.87,0.0
276.61,0.0
279.38,0.0
282.17,0.0
284.99,0.0
287.84,0.0
290.72,0.0
293.63,0.0
296.57,0.0
299.53,0.0
302.53,0.0
305.55,0.0
308.61,0.0
311.69,0.0
314.81,0.0
317.96,0.0
321.14,0.0
324.35,0.0
327.59,0.0
330.87,0.0
334.18,0.0
337.52,0.0
340.9,0.0
344.3,0.0
347.75,0.0
351.23,0.0
354.74,0.0
358.28,0.0
361.87,0.0
365.49,0.0
369.14,0.0
372.83,0.0
376.56,0.0
380.33,0.0
384.13,0.0
387.97,0.0
391.85,0.0
395.77,0.0
399.73,0.0
403.72,0.0
407.76,0.0
411.84,0.0
415.96,0.0
420.12,0.0
424.32,0.0
428.56,0.0
432.85,0.0
437.18,0.0
441.55,0.0
445.96,0.0
450.42,0.0
454.93,0.0
459.48,0.0
464.07,0.0
468.71,0.0
473.4,0.0
478.13,0.0
482.91,0.0
487.74,0.0
492.62,0.0
497.55,0.0
502.52,0.0
507.55,0.0
512.62,0.0
517.75,0.0
522.93,0.0
528.16,0.0
533.44,0.0
538.77,0.0
544.16,0.0
549.6,0.0
555.1,0.0
560.65,0.0
566.25,0.0
571.92,0.0
577.64,0.0
583.41,0.0
589.25,0.0
595.14,0.0
601.09,0.0
607.1,0.0
613.17,0.0
619.3,0.0
625.5,0.0
631.75,0.0
638.07,0.0
644.45,0.0
650.89,0.0
657.4,0.0
663.98,0.0
670.62,0.0
677.32,0.0
684.1,0.0
690.94,0.0
697.85,0.0
704.83,0.0
711.87,0.0
718.99,0.0
726.18,0.0
733.44,0.0
740.78,0.0
748.19,0.0
755.67,0.0
763.23,0.0
770.86,0.0
778.57,0.0
786.35,0.0
794.22,0.0
802.16,0.0
810.18,0.0
818.28,0.0
826.46,0.0
834.73,0.0
843.08,0.0
851.51,0.0
860.02,0.0
868.62,0.0
877.31,0.0
886.08,0.0
894.94,0.0
903.89,0.0
912.93,0.0
922.06,0.0
931.28,0.0
940.59,0.0
950.0,0.0
959.5,0.0
969.09,0.0
978.78,0.0
988.57,0.0
998.46,0.0
1008.44,0.0
1018.53,0.0
1028.71,0.0
1039.0,0.0
1049.39,0.0
1059.88,0.0
1070.48,0.0
1081.19,0.0
1092.0,0.0
1102.92,0.0
1113.95,0.0
1125.09,0.0
1136.34,0.0
1147.7,0.0
1159.18,0.0
1170.77,0.0
1182.48,0.0
1194.3,0.0
1206.25,0.0
1218.31,0.0
1230.49,0.0
1242.8,0.0
1255.22,0.0
1267.78,0.0
1280.45,0.0
1293.26,0.0
1306.19,0.0
1319.25,0.0
1332.45,0.0
1345.77,0.0
1359.23,0.0
1372.82,0.0
1386.55,0.0
1400.41,0.0
1414.42,0.0
1428.56,0.0
1442.85,0.0
1457.28,0.0
1471.85,0.0
1486.57,0.0
1501.43,0.0
1516.45,0.0
1531.61,0.0
1546.93,0.0
1562.4,0.0
1578.02,0.0
1593.8,0.0
1609.74,0.0
1625.84,0.0
1642.1,0.0
1658.52,0.0
1675.1,0.0
1691.85,0.0
1708.77,0.0
1725.86,0.0
1743.12,0.0
1760.55,0.0
1778.15,0.0
1795.94,0.0
1813.9,0.0
1832.03,0.0
1850.36,0.0
1868.86,0.0
1887.55,0.0
1906.42,0.0
1925.49,0.0
1944.74,0.0
1964.19,0.0
1983.83,0.0
2003.67,-0.007934758283837709
2023.71,-0.051007694892555605
2043.94,-0.09405853945338397
2064.38,-0.1371256763174611
2085.03,-0.18020442516788415
2105.88,-0.22326968752766327
2126.94,-0.2663380083254111
2148.2,-0.3093849486516755
2169.69,-0.35246678596625697
2191.38,-0.395519037073753
2213.3,-0.43859704005743944
2235.43,-0.4816571105998132
2257.78,-0.5247147465895925
2280.36,-0.5677848010860033
2303.17,-0.610862706825166
2326.2,-0.6539254227686611
2349.46,-0.6969876173781298
2372.95,-0.7400451062580249
2396.68,-0.7831118881227876
2420.65,-0.8261834886087653
2444.86,-0.8692555635220653
2469.31,-0.9123238963051163
2494.0,-0.9553843955027493
2518.94,-0.9984502744339595
2544.13,-1.0415171740879232
2569.57,-1.0845808633495637
2595.27,-1.1276539133194117
2621.22,-1.1707153340884626
2647.43,-1.2137776164058578
2673.9,-1.2568365351848325
2700.64,-1.2999040167309497
2727.65,-1.3429756079480928
2754.93,-1.3860469854972535
2782.48,-1.4291139532628732
2810.3,-1.4721724398193023
2838.4,-1.5152337442548438
2866.79,-1.5583086815886262
2895.46,-1.6013776995658096
2924.41,-1.6444367705679312
2953.65,-1.6874966416320323
2983.19,-1.7305675984519506
3013.02,-1.7736307481084992
3043.15,-1.8166963425920168
3073.58,-1.8597601092872997
3104.32,-1.9028318439195369
3135.36,-1.945893305538118
3166.72,-1.9889679316186737
3198.38,-2.0320240674368684
3230.37,-2.075098253203986
3262.67,-2.118159223914054
3295.3,-2.1612294371055913
3328.25,-2.2042914148125803
3361.53,-2.247354074909276
3395.15,-2.2904259453325135
3429.1,-2.333489931018772
3463.39,-2.3765545602828935
3498.03,-2.4196279867029102
3533.01,-2.4626934981215793
3568.34,-2.5057592557615145
3604.02,-2.5488210516181367
3640.06,-2.5918866927463986
3676.46,-2.63495186533214
3713.22,-2.6780123825613145
3750.36,-2.721087263054792
3787.86,-2.7641490285554537
3825.74,-2.8072164913162703
3864.0,-2.8502852825210585
3902.64,-2.8933511614522684
3941.66,-2.936410012957902
3981.08,-2.9794795882468095
4020.89,-3.0225446060582786
4061.1,-3.0656116573059253
4101.71,-3.108676481046838
4142.73,-3.151745389731676
4184.15,-3.194803717548841
4226.0,-3.2378783018185606
4268.26,-3.280944180749771
4310.94,-3.3240074493412575
4354.05,-3.367073924694478
4397.59,-3.410139311528326
4441.56,-3.4531994411990823
4485.98,-3.4962695652637694
4530.84,-3.539335635244994
4576.15,-3.58240302744334
4621.91,-3.625467501733042
4668.13,-3.668534215104807
4714.81,-3.7115989006666394
4761.96,-3.7546665064841247
4809.58,-3.7977327453706993
4857.67,-3.8407934566230164
4906.25,-3.883862246674881
4955.31,-3.9269259420474287
5004.87,-3.969997787928415
5054.91,-4.013056217803527
5105.46,-4.056122859697713
5156.52,-4.099193271079471
5208.08,-4.142254828642461
5260.16,-4.185320049329846
5312.77,-4.2283927713850336
5365.89,-4.271452439560613
5419.55,-4.314519196958507
5473.75,-4.35758863403378
5528.49,-4.400656470138694
5583.77,-4.443718550989432
5639.61,-4.48678619504231
5696.0,-4.529847438912932
5752.96,-4.572913317844142
5810.49,-4.615979494725114
5868.6,-4.659049134901547
5927.28,-4.702110632649888
5986.56,-4.745181716946388
6046.42,-4.7882435873460265
6106.89,-4.831313576864726
6167.96,-4.874380227670924
6229.64,-4.917446384504888
6291.93,-4.960507861014156
6354.85,-5.003574216693008
6418.4,-5.0466411071112605
6482.58,-5.0897043154491035
6547.41,-5.132772970739722
6612.88,-5.175836166249564
6679.01,-5.21890282279641
6745.8,-5.261968637567919
6813.26,-5.305035786988076
6881.39,-5.348100030636415
6950.21,-5.391169708205483
7019.71,-5.434234292357081
7089.91,-5.477301941613925
7160.81,-5.520368364516678
7232.41,-5.563429396174314
7304.74,-5.6064987708784795
7377.79,-5.6495661750663455
7451.56,-5.69262746544773
7526.08,-5.7356958747241
7601.34,-5.7787612981477405
7677.35,-5.821825260338648
7754.13,-5.864894767344843
7831.67,-5.907959927845605
7909.98,-5.951022140755151
7989.08,-5.994088128036388
8068.98,-6.037158941718438
8149.67,-6.080224926864629
8231.16,-6.123287282822341
8313.47,-6.166352328775803
8396.61,-6.209420939626012
8480.57,-6.2524837054044795
8565.38,-6.295551757125537
8651.03,-6.338615734928228
8737.54,-6.381681465256341
8824.92,-6.424749600207633
8913.17,-6.467815867605378
9002.3,-6.510880929218345
9092.32,-6.5539453801033325
9183.25,-6.597014463890093
9275.08,-6.640079176231759
9367.83,-6.683144685550374
9461.51,-6.72621134213181
9556.12,-6.769274911210461
9651.68,-6.81234025202791
9748.2,-6.855407551721381
9845.68,-6.898472551468078
9944.14,-6.94153982316675
10043.58,-6.984605098795278
10144.02,-7.027672769714407
10245.46,-7.070738564157752
10347.91,-7.113802519107489
10451.39,-7.156868770742882
10555.91,-7.199937150768443
10661.46,-7.242999335500379
10768.08,-7.286067384889602
10875.76,-7.329132945455202
10984.52,-7.37219977002677
11094.36,-7.415263620356297
11205.31,-7.458331971307711
11317.36,-7.501396664709606
11430.53,-7.544461180527822
11544.84,-7.587528821458697
11660.29,-7.6305952942805115
11776.89,-7.673660107442633
11894.66,-7.716726386628567
12013.6,-7.759789887808398
12133.74,-7.8028571935332725
12255.08,-7.845923990697779
12377.63,-7.888989589893047
12501.41,-7.9320567497931505
12626.42,-7.975121223326305
12752.68,-8.018185676835209
12880.21,-8.061252631049673
13009.01,-8.104317811312956
13139.1,-8.14738365730367
13270.49,-8.19044921009131
13403.2,-8.233516735885832
13537.23,-8.27658197538271
13672.6,-8.319647126245012
13809.33,-8.362714258846243
13947.42,-8.405779113740088
14086.9,-8.448846774674356
14227.77,-8.4919129578054
14370.04,-8.53497651758882
14513.74,-8.57804227723761
14658.88,-8.621108923827899
14805.47,-8.664175153555293
14953.52,-8.707239672138112
15103.06,-8.750306926605926
15254.09,-8.793372635297482
15406.63,-8.836438261397507
15560.7,-8.879505169454456
15716.3,-8.922569120668003
15873.47,-8.965636908230566
16032.2,-9.00870151834046
16192.52,-9.051766862693379
16354.45,-9.094834011909533
16517.99,-9.13789871173963
16683.17,-9.180964616613661
16850.01,-9.224032627479238
17018.51,-9.267098480978815
17188.69,-9.310163075738231
17360.58,-9.353229727516034
17534.18,-9.396294174792638
17709.53,-9.43936205774689
17886.62,-9.482426654219609
18065.49,-9.525493443545454
18246.14,-9.568558160169774
18428.6,-9.61162371030124
18612.89,-9.654690519358958
18799.02,-9.697756651542399
18987.01,-9.74082248488365
19176.88,-9.783888341245573
19368.65,-9.826954488326724
19562.33,-9.870018929159883
19757.96,-9.913086275761602
19955.54,-9.956152241447372
